source,reference,translation,metric
"When asked about the peculiar timing of it all, Dewey-Hagborg said that ""things happen for a reason.""","Kun häneltä kysyttiin kaiken erikoisesta ajoituksesta, Dewey-Hagborg sanoi, että ""asiat tapahtuvat jostain syystä"".","Dewey-Hagborg uskoo, että ”kaikella on tarkoituksensa”.",-0.9683520762551043
"As a result of the crash landing, two people died yesterday.",Törmäyksen seurauksena kaksi ihmistä kuoli eilen.,Pakkolaskun seurauksena kuoli eilen kaksi ihmistä.,1.0430810110281128
Klitschko lost the two last fights of his career.,Klitschko hävisi uransa kaksi viimeistä tappelua.,Klitshko hävisi uransa kaksi viimeistä ottelua.,2.2329433142966124
"""It's hard to hear those horrible awful words, and deeds ... come out of people that look like you and who do it because they look like you,"" she said.","""On vaikea kuulla näitä kauheita sanoja ja tekoja... tulevat ulos ihmisistä jotka näyttävät sinusta ja jotka tekevät sen, koska he näyttävät sinusta"", hän sanoi.","”On vaikea kuunnella kamalia sanoja ja katsella hirveitä tekoja, joita sanovat ja tekevät ihmiset, jotka näyttävät samalta kuin sinä – juuri siksi, että he näyttävät samalta kuin sinä”, hän sanoo.",-0.22273345911557907
"These riches are, however, a source of misery for Papuans, ensuring Indonesia's powerful military maintains a suffocating presence.","Nämä rikkaudet aiheuttavat kuitenkin kurjuutta Papualaisille, mikä varmistaa, että Indonesian voimakas armeija pitää yllä tukahduttavaa läsnäoloa.","Papualaisille nämä rikkaudet tuovat kuitenkin kurjuutta, sillä ne tarkoittavat Indonesian vahvan armeijan tukahduttavaa läsnäoloa.",1.1236889913439647
Tauru has never experienced anything like this before.,Tauru ei ole koskaan aiemmin kokenut vastaavaa.,Tauru ei ole aikaisemmin kohdannut moista.,-0.5136902001750057
"As tempers grew more heated, an order was sent to the soldiers through internal radio: ""If the masses offer resistance more than three times, shoot them dead,"" it said, according to an official document seen by TIME that has not been released to the local media.","Kun tempaus kasvoi kiivaammaksi, sotilaille lähetettiin tilaus sisäisen radion kautta: ""Jos massat tarjoavat vastarintaa yli kolme kertaa, ampukaa heidät kuoliaaksi"", se sanoi TIME:n näkemän virallisen asiakirjan mukaan, jota ei ole julkaistu paikalliselle medialle.","Kun tunnelma kuumeni, sotilaat saivat sisäisessä radiojärjestelmässä käskyn: ”Jos ihmisjoukot tekevät vastarintaa enemmän kuin kolme kertaa, ampukaa heidät kuoliaiksi.” Tieto perustuu TIME-lehden näkemään viralliseen asiakirjaan, jota ei ole julkistettu paikallisille tiedotusvälineille.",0.12128147784362608
New results of Sweden's asylum age assessment tests released,Ruotsin turvapaikkaikäarviointitestien uudet tulokset julki,Ruotsin turvapaikanhakijoiden ikätestien uuden tulokset julkistettiin,0.9532702209703443
"According to Tommi, they will not receive any insurance compensation, unless they obtain the details of the other car.","Tommin mukaan he eivät saa vakuutuskorvausta, elleivät he saa toisen auton yksityiskohtia.",Ilman toisen auton tietoja perhe ei Tommin mukaan saa vakuutuksesta rahoja.,-0.22996482132287346
"One of the criteria mentioned in the list, however, states that Russian anti-doping authorities must publically accept the reported outcomes of the WADA-sanctioned investigation by Canadian lawyer Richard McLaren on alleged state-sponsored doping in Russian sport.","Yksi luettelossa mainituista kriteereistä on kuitenkin se, että Venäjän antidopingviranomaisten on julkisesti hyväksyttävä kanadalaisen asianajajan Richard McLarenin WADAn vahvistaman tutkimuksen raportoidut tulokset väitetystä valtion tukemasta dopingista Venäjän urheilussa.","Yksi tiekartan kohdista kuitenkin edellyttää, että Venäjän antidopingviranomaiset hyväksyvät julkisesti WADAn määräämän, kanadalaisen juristin Richard McLarenin tutkimuksen tulokset. McLaren tutkii valtion väitettyä osuutta Venäjän urheilun dopingissa.",0.5047451633832574
So it's really just the importance of drawing on that home support and thriving on the fact that we're back at the Olympic Stadium.,"Joten se on oikeastaan vain tärkeää piirtää, että kodin tukea ja kukoistaa siitä, että olemme takaisin olympiastadionilla.","On tärkeää nauttia kotiyleisön tuesta ja siitä, että olemme taas olympiastadionilla.",0.3625184141587477
Iuel was born in Denmark in 1994.,Iuel syntyi Tanskassa vuonna 1994.,Iuel syntyi Tanskassa 1994.,2.2942897460612612
"Me Naiset magazine tested what the price of a pineapple, artichoke, mushroom, broccoli and cauliflower is after any unnecessary parts are removed.","Me Naiset-lehti testasi, mikä on pineomenan, artichoken, sienen, broccolin ja kukkakaalin hinta sen jälkeen, kun kaikki tarpeettomat osat poistetaan.","Me Naiset testasi, miten hinta muuttuu, kun ananaksesta, latva-artisokasta, herkkusienistä, parsakaalista ja kukkakaalista ottaa lehdet tai kannat pois.",-0.8445618257116155
"Neymar's transfer to PSG will have an impact on the club's finances for several years, but this impact cannot be evaluated beforehand.","Neymarin siirto PSG: Hen vaikuttaa seuran talouteen useita vuosia, mutta vaikutusta ei voi arvioida etukäteen.","Neymarin siirto PSG:hen vaikuttaa seuran talouteen useiden vuosien ajan, mutta vaikutusta ei voida arvioida etukäteen.",2.418767517393238
In experiments it was found a kind of tolerance-promoting immune cell appears in mice that carry a specific bacterium in their guts.,"Kokeissa havaittiin, että hiirillä esiintyy eräänlainen suvaitsevaisuutta edistävä immuunisolu, joka kantaa erityistä bakteeria kivissään.","Kokeissa havaittiin, että sietokykyä vahvistavia immuunisoluja on hiirillä, joiden suolistossa on tiettyä bakteeria.",-0.007445973527116904
One reason for obtaining funding from the EIB was the impact MariaDB has on public IT procurement.,Yksi syy saada rahoitusta EIP:ltä oli MariaDB:n vaikutus julkisiin tietotekniikkahankintoihin.,Yksi syy EIB:n rahoitukseen oli MariaDB:n vaikutus julkisiin it-hankintoihin.,1.1351186147239873
"By algorithmically analyzing DNA extracted from Manning and using it to create 30 portraits of what someone with that genomic data might look like, Dewey-Hagborg has created a trenchant, if somewhat cerebral, commentary on not only the malleability of DNA data - the many ways it can be interpreted, and the inherent determinism of those interpretations - but also identity.","Kun algoritmi analysoida DNA louhittu Manning ja käyttämällä sitä luoda 30 kuvaa siitä, mitä joku, jolla on, että genominen data voisi näyttää, Dewey-Hagborg on luonut trenchant, jos hieman cerebral.","Dewey-Hagborg analysoi Manningin DNA:ta algoritmisesti ja loi hänen geenitietojensa perusteella 30 muotokuvaa. Ne ovat terävä, joskin hieman teoreettinen kannanotto DNA-tietojen muokattavuuteen, monitulkintaisuuteen ja tulkintojen taustalla oleviin syy-seuraussuhteisiin sekä identiteettiin.",-1.1986565440068635
So she called in outsiders for help.,Niinpä hän soitti ulkopuolisille apua.,Errett päätti turvautua ulkopuoliseen apuun.,-0.9686136162341609
"In fact, Paniai suffered a nadir just two months after Jokowi's October inauguration.",Paniaomi nimittäin kärsi nadosta vain kaksi kuukautta Jokowin lokakuun virkaanastujaisten jälkeen.,Paniailla koettiin jonkinlainen aallonpohja vain kaksi kuukautta Jokowin lokakuisten virkaanastujaisten jälkeen.,1.4549994836421316
Fleet-footed tortoise escaped again from a Japanese zoo,Alusvaatekilpikonna pakeni jälleen japanilaisesta eläintarhasta,Vikkelä konna karkasi toistamiseen japanilaisesta eläintarhasta,1.0114887312017746
"Justice, who is the only billionaire in the state, according to Forbes, was elected in 2016.","Oikeus, joka on valtion ainoa miljardööri, valittiin Forbesin mukaan vuonna 2016.",Justice valittiin kuvernööriksi vuonna 2016. Forbesin mukaan hän on osavaltionsa ainoa miljardööri.,0.6771052307908111
"He does not seem to be interested in a rematch with Helenius, as he has his eyes set on Dillian Whyte.","Hän ei näytä olevan kiinnostunut uusintaottelusta Heleniuksen kanssa, sillä hänellä on silmät kiinni Dillian Whyten kanssa.","Häntä ei kaikesta päätellen kiinnosta uusintaottelu Heleniuksen kanssa, vaan tähtäimessä on Dillian Whyte.",0.24511393502874682
"Danish-Norwegian Amalie Iuel has become a highly popular athlete in her current home country Norway, not least because she broke the 26-year-old Norwegian record in 400 metres by crossing the line at 51.81.","Tanskalais-norjalaisesta Amalie Iuelista on tullut erittäin suosittu urheilija nykyisessä kotimaassaan Norjassa, eikä vähiten siksi, että hän rikkoi 26-vuotiaan Norjan ennätyksen 400 metrillä ylittämällä rajan 51,81.","Tanskalais-norjalainen Amalie Iuel on noussut nykyisessä kotimaassaan Norjassa suosituksi urheilijaksi, ei vähiten siksi, että hän rikkoi maaliskuussa 26 vuotta vanhan Norjan ennätyksen 400 metrin juoksussa kiertämällä ratakierroksen aikaan 51.81.",1.0625530826465728
"Since arriving in Washington, Pruitt has repeatedly moved to block or delay regulations opposed by the chemical and fossil-fuel industries.","Sen jälkeen, kun saapuu Washington, Pruitt on toistuvasti siirretty estää tai viivästyttää asetuksia vastustaa kemian ja fossiilisten polttoaineiden teollisuuden.",Washingtoniin tulonsa jälkeen Pruitt on toistuvasti yrittänyt estää tai viivästyttää kemianteollisuuden ja fossiilisia polttoaineita käyttävien teollisuudenalojen vastustamien päätösten toimeenpanon.,0.5830037609530533
"In addition to our sense of taste, she has opened up our hearts and minds.",Makuaistimme lisäksi hän on avannut sydämemme ja mielemme.,Hän on avannut makuaistimme lisäksi ajatuksemme ja sydämemme.,1.211598844380585
"They have one child, Kaya, born in 2014.","Heillä on yksi lapsi, Kaya, syntynyt vuonna 2014.","Pariskunnalla on yksi lapsi, vuonna 2014 syntynyt tytär Kaya.",0.2448798664459077
"Those eligible for the treatment include gay or bisexual men, transgender people and those with HIV-positive partners who are not successfully receiving treatment.","Hoitoon oikeutettuja ovat homo- tai biseksuaalit, transsukupuoliset ihmiset ja ne, joilla on hiv-positiivisia kumppaneita, jotka eivät saa onnistuneesti hoitoa.","Hoidon kohderyhmään kuuluvat homomiehet, biseksuaaliset miehet ja transsukupuoliset sekä ihmiset, joilla on HIV-positiivinen kumppani, joka ei saa tehokasta hoitoa.",-0.20921920865801735
The success of Rwanda has made many Africans doubt whether a liberal multi-party democracy is the right way for African states.,"Ruandan menestys on saanut monet afrikkalaiset epäilemään, onko liberaali monipuoluedemokratia oikea tapa Afrikan valtioille.","Ruandan menestys on saanut monet afrikkalaiset kysymään, onko liberaali monipuoluedemokratia oikea malli afrikkalaisille valtioille.",2.5017170902663044
"On Thursday, the District Court of Minneapolis in the United States sentenced 41-year-old Maxim Senakh to nearly four years of imprisonment for his involvement in a global computer fraud.",Yhdysvaltain Minneapolisin käräjäoikeus tuomitsi torstaina 41-vuotiaan Maxim Senakhin lähes neljäksi vuodeksi vankeuteen osallisuudesta maailmanlaajuiseen tietokonepetokseen.,Minneapolisin oikeusistuin Yhdysvalloissa tuomitsi torstaina 41-vuotiaan Maksim Senahin liki neljäksi vuodeksi vankeuteen osallisuudesta maailmanlaajuiseen tietokonehuijaukseen.,2.1143069369846934
He's shown a steady hand in leading his state and a stern adherence to principles.,Hän on osoittanut tasainen käsi johtaa hänen valtion ja tiukka noudattaminen periaatteita.,Hän on johtanut osavaltiota vakaasti ja pitänyt tiukasti kiinni periaatteista.,-0.8599420843684407
"Earlier, Suur-Hamari had also won the cross event.",Aiemmin Suur-Hamari oli voittanut myös cross-tapahtuman.,Suur-Hamari voitti aiemmin kisoissa myös crossin MM-kullan.,-0.2522087970728651
"""These World Championships have been pretty amazing!","""Nämä MM-kisat ovat olleet aika hämmästyttäviä!",Aika uskomattomat MM-kisat!,-1.2953855318926089
"On her last jump, she attempted caballerial 1080 for the first time in a competition, and very nearly made it.","Hänen viimeinen hyppy, hän yritti caballerial 1080 ensimmäistä kertaa kilpailussa, ja hyvin lähes teki sen.","Hän yritti viimeisellä hypyllään caballerial 1080:tä ensi kertaa kisoissa, ja se oli hyvin lähellä onnistua.",-0.16907896487021545
Ms De Lutis and her late husband Luigi were Italian immigrants who ran milk bars and delicatessens from the late 1950s and in the early 1970s bought a shop in Brunswick.,"DE Lutis ja hänen edesmennyt miehensä Luigi olivat italialaisia maahanmuuttajia, jotka ajoivat maitobaareja ja herkkuja 1950-luvun lopusta lähtien ja 1970-luvun alussa ostivat myymälän Brunswickiin.","Anna De Lutis ja hänen edesmennyt aviomiehensä Luigi olivat italialaisia siirtolaisia, jotka perustivat maitobaareja ja herkkukauppoja 1950-luvun lopulla. 1970-luvun alussa he ostivat kaupan Brunswickista.",1.4431107854806582
"""The police just killed an 18 year old kid and he's still laying in the street,"" it read.","""Poliisi vain tappoi 18-vuotiaan kitaran ja hän on yhä kadulla"", siinä luki.","”Poliisi tappoi juuri 18-vuotiaan nuoren, ja hänen ruumiinsa on edelleen kadulla.”",-0.5798708462289895
"""When I turned around I suddenly got shot in my left wrist,"" he told TIME on the porch of his brightly painted wooden house.","""Kun käännyin ympärilleni, pääsin yhtäkkiä ampumaan vasemmalla puolellani"", hän kertoi TIME:lle kirkkaasti maalatun puutalon portista.","”Kun käännyin ympäri, minua ammuttiin vasempaan ranteeseen”, hän kertoi TIME-lehdelle kirkkaanväriseksi maalatun puutalonsa kuistilla.",0.29925677746161133
"Italian Piccareta has previously worked as an assistant coach, for example, in Sunderland in the UK.",Italialainen Piccareta on aiemmin työskennellyt apuvalmentajana muun muassa Sunderlandissa Yhdistyneessä kuningaskunnassa.,Italialainen Piccareta on toiminut apuvalmentajana aiemmin muun muassa englantilaisessa Sunderlandissa.,1.1041705695988573
This trial will take us one step closer to fully understanding the benefits of PrEP.,"Tämä oikeudenkäynti vie meidät askeleen lähemmäs sitä, että ymmärrämme täysin prepin edut.",Kokeilu auttaa meitä ymmärtämään entistä paremmin PrEP-lääkkeen todellisia hyötyjä.,-1.4806079353166053
"Having had a notable career as an author, Raija Oranen has nothing but good memories of the 44-episode Puhtaat valkeat lakanat series which touched and moved Finnish viewers during the recession of the 1990s.","Tehtyään merkittävän uran kirjailijana Raija Oranen on vain hyviä muistoja 44-episodista Puhtaat valkeat lakanat -sarjasta, joka kosketti ja liikutti suomalaisia katsojia 1990-luvun laman aikana.","Mittavan kirjailijauran tehnyt Oranen muistaa vain hyvällä 44-osaista Puhtaat valkeat lakanat tv-sarjaa, joka kosketti ja liikutti lama-ajan Suomea.",0.38505440154239123
"There is no respite from the violence, and as bodies pile up across the country, more and more of them are journalists: at least 25 since President Enrique Pena Nieto took office in December 2012, according to the Committee to Protect Journalists; 589 under federal protection after attacks and threats; and so far this year, at least seven dead in seven states.",Väkivallasta ei ole hengähdystaukoa.,"Väkivalta on taukoamatonta, ja yhä useammin iskujen kohteina ovat toimittajat. Toimittajien suojelukomitean mukaan ainakin 25 toimittajaa on murhattu sen jälkeen, kun presidentti Enrique Peña Nieto astui virkaan joulukuussa 2012. Liittovaltion suojeluksessa on 589 hyökkäysten ja uhkausten kohteeksi joutunutta toimittajaa. Kuluvana vuonna on murhattu ainakin seitsemän toimittajaa seitsemässä osavaltiossa.",-2.195846313348012
News of the killings only filtered through to Jakarta the following day.,Uutiset surmista suodatettiin vasta seuraavana päivänä Jakartaan.,Tieto surmista kantautui Jakartaan seuraavana päivänä.,0.4343981490504764
"Even though many have heard of Widenius and the billion dollar MySQL deal, not many in Finland know anything about MariaDB.","Vaikka moni on kuullut Wideniuksen ja miljardin dollarin MySQL-sopimuksesta, ei moni Suomessa tiedä MariaDB:stä mitään.","Vaikka moni on kuullut Wideniuksesta ja MySQL:n miljardikaupasta, harva suomalainen tietää mitään MariaDB:stä.",0.5473032826304073
"At midnight on a recent Friday, with the latest issue already put to bed, Riodoce editors sat on the sidewalk outside the office, drinking beer, when all at once, their phones began to buzz.","Keskiyöllä viime perjantaina, kun viimeisin asia on jo pantu nukkumaan, Riodoce editors istui sivukävelyllä toimiston ulkopuolella, juoda olutta, kun kaikki kerralla, heidän puhelimensa alkoi buzz.","Jokin aika sitten Riodocen toimittajat istuivat perjantaina keskiyöllä toimituksen edessä jalkakäytävällä oluella, kun lehden uusin numero oli saatu valmiiksi. Äkkiä heidän puhelimensa alkoivat väristä viestin merkiksi.",-0.519952931027521
"In minutes of the rates decision, the Bank said: ""In the MPC's central forecast, gross domestic product (GDP) remains sluggish in the near-term as the squeeze on households' real incomes continues to weigh on consumption.""","Korkopäätöksen minuuteissa pankki totesi, että ""MPC:n keskusennusteessa bruttokansantuote (BKT) pysyy verkkaisena lähitulevaisuudessa, kun kotitalouksien reaalitulojen puristaminen painaa edelleen kulutusta"".","Pankin korkopäätöksen pöytäkirjassa todetaan seuraavaa: ”Rahapolitiikasta vastaavan toimikunnan ennusteen mukaan bruttokansantuotteen hidas kehitys jatkuu lähivuosina, kun kotitalouksien reaalitulojen lasku pienentää kulutusta.”",-0.09549149980191696
"This week, Princess Sofia of Sweden made a visit to Båstad, Sweden.",Ruotsin prinsessa Sofia vieraili tällä viikolla Ruotsin Båstadissa.,Ruotsin prinsessa Sofia on vieraillut tällä viikolla Ruotsin Båstadissa.,2.780934519568123
"""I've carried out slow aerobic exercises to return my metabolism back to normal.","""Olen tehnyt hitaita aerobisia harjoituksia palauttaakseni aineenvaihduntani takaisin normaaliksi.","Olen tehnyt monipuolisesti rauhallisia aerobisia harjoituksia, joilla olen pyrkinyt normalisoimaan elimistön aineenvaihduntaa.",0.20934043715473258
"PSG is owned by Qatar Sports Investment, a state-owned company from Qatar.","PSG:n omistaa Qatar Sports Investment, joka on Qatarin valtion omistama yhtiö.",PSG:n omistaa valtio-omisteinen qatarilaisyhtiö Qatar Sports Investment.,0.7752768610571328
I remember when I was that young that everything was new and I was insanely excited about everything.,"Muistan, kun olin niin nuori, että kaikki oli uutta ja olin älyttömän innoissani kaikesta.","Muistan, kun itsekin oli siinä vaiheessa, että kaikki oli uutta ja oli niin sairaan innoissaan kaikesta.",0.8020787909475159
Tyson Fury beat him by the unanimous decision of the judges in November 2015.,Tyson Fury päihitti hänet tuomareiden yksimielisellä päätöksellä marraskuussa 2015.,Tyson Fury löi hänet pistein marraskuussa 2015.,-0.017108656935657444
"If an opportunity presents itself, I must be ready to take it.","Jos tilaisuus tarjoutuu, minun on oltava valmis siihen.","Jos tulee tilaisuus, lähden toki itse viemään tonttiin.",-1.2751568392751
"By Wednesday, there have been 18,386 flashes this year.","Keskiviikkoon mennessä säiliöitä on tänä vuonna ollut 18,386.",Keskiviikkoon mennessä tämän vuoden salamamäärä oli kohonnut 18 386 salamaan.,-0.014344354590293401
Luukkainen is also the president of the Negotiation Organisation for Public Sector Professionals (JUKO).,Luukkainen on myös julkisen sektorin yrittäjien neuvottelujärjestön (JUKO) puheenjohtaja.,Luukkainen on myös julkisalan koulutettujen neuvottelujärjestön Jukon puheenjohtaja.,1.474223032625419
"Whatever the combination of circumstances, it's absolutely brilliant.""","Mikä tahansa yhdistelmä olosuhteet, se on aivan loistava. ""","Kyseessä on kuitenkin jotakin aivan mahtavaa, mistä se sitten johtuukaan.”",-1.5721110374600895
The suspect left the shop after making his threats.,Epäilty poistui myymälästä tehtyään uhkauksensa.,Epäilty lähti kaupasta uhkailujen jälkeen.,-1.397981412758113
"In a statement issued Wednesday evening, Pruitt suggested his about-face on ozone standards simply reinforced the EPA's commitment to working with states through the complex process of meeting the new standards on time.","Keskiviikkoiltana antamassaan lausunnossa Pruitt ehdotti, että hänen noin kasvot otsoninormeja yksinkertaisesti vahvistaa EPA:n sitoutumista yhteistyöhön valtioiden kautta monimutkainen prosessi täyttää uudet standardit ajoissa.","Keskiviikkoiltana annetussa lausunnossa Pruitt väitti, että hänen täyskäännöksensä otsonisäännösten suhteen vain vahvistaa EPA:n yhteistyötä osavaltioiden kanssa monimutkaisessa prosessissa, jonka tavoitteena on uusien vaatimusten täyttäminen aikataulun mukaisesti.",0.13562493717038018
The shed of roughly 50 square metres burned to the ground.,Noin 50 neliömetrin kokoinen valtti paloi maan tasalle.,Noin viidenkymmenen neliömetrin kokoinen ulkorakennus paloi maan tasalle.,1.0914722223567346
"Lazarus's great imaginative act was to see it as it would be seen by exhausted, wretched but hopeful people on the decks of ships after long and often dreadful journeys.","Lazaruksen suuri mielikuvituksellinen teko oli nähdä se sellaisena kuin se nähtäisiin uupuneilla, kurjilla mutta toiveikkailla ihmisillä laivoilla pitkien ja usein hirvittävien matkojen jälkeen.",Lazarus näki sen niin kuin köyhät ja uupuneet mutta toiveikkaat maahanmuuttajat laivan kannelta pitkän ja koettelevan matkan jälkeen.,-1.025829631013684
A court filing says this translates to Colin owning property worth $316 million and Paul $176 million.,Tuomioistuimen hakemuksen mukaan tämä tarkoittaa Colin omistaa omaisuuden arvo 316 miljoonaa dollaria ja Paul 176 miljoonaa dollaria.,"Oikeuden asiakirjojen mukaan omaisuuden jakosuhde tarkoittaa, että Colin omistaa kiinteistöjä noin 316 miljoonan dollarin arvosta ja Paul noin 176 miljoonan dollarin arvosta.",-0.02429324746027856
"He knows how to wrestle. After all, he has won the World Jiu-Jitsu Championships.""","Hän tietää, miten voittaa.","Hän on voittanut jujutsun maailmanmestaruuden, joten hän osaa painia.",-1.6324573733026755
"He's played the part of the head Klansman for years, but he said the role never gets any easier.","Hän on ollut osa pään Klansman vuosia, mutta hän sanoi rooli ei koskaan saa yhtään helpompaa.","Hän on esittänyt uudelleenlavastuksessa paikallista Ku Klux Klanin johtajaa jo vuosia, mutta rooli on aina yhtä vaikea ja vastenmielinen.",-1.2287207250019805
"Gobai says the Paniai people, like other Papuans, consider their vote to Jokowi as a ""debt"" he must repay.","Gobain mukaan Paniait, kuten muutkin Papualaiset, pitävät ääniään Jokowille ""velaksi"", joka hänen on maksettava takaisin.","Gobain mukaan paniailaiset, kuten muutkin papualaiset, pitävät Jokowille antamiaan ääniä ”velkana”, joka on maksettava takaisin.",1.0973847204697595
"A day before Audi's announcement, BMW said it would offer to upgrade the software in more than 350,000 vehicles.",Päivää ennen Audin ilmoitusta BMW kertoi tarjoavansa ohjelmiston päivittämistä yli 35000 ajoneuvolla.,Päivä ennen Audin ilmoitusta BMW tarjoutui päivittämään yli 350 000 auton ohjelmiston.,0.7762059807580475
"Hannu Manninen's Olympic project starts with a huge setback – ""It's tough""","Hannu Mannisen olympiaprojekti alkaa huikealla takaiskulla - ""Se on rankkaa""","Hannu Mannisen olympiaprojekti alkoi valtavalla takaiskulla - ""Kova paikka""",1.8014633813222356
"On Monday, first-degree murder warrants without bail were issued for Wyndham Lathem, 42, and Andrew Warren, 56, for their alleged involvement in the death of Trenton H. James Cornell-Duranleau, Cook County court records show.","Wyndham Lahe, 42, ja Andrew Warren, 56, saivat maanantaina ensimmäisen asteen murhat ilman takuita, koska heidän väitettiin osallistuneen Trenton H. James Cornell-Duranleaun kuolemaan.","Cookin piirikunnan oikeuden asiakirjoista käy ilmi, että maanantaina annettiin pidätysmääräykset Wyndham Lathemista, 42, ja Andrew Warrenista, 56, joita epäillään osallisuudesta Trenton H. James Cornell-Duranleaun kuolemaan. Pidätysmääräykset on annettu ensimmäisen asteen murhasta ilman mahdollisuutta vapautua takuita vastaan.",0.3655416767653533
"For the mezzanine, a vintage copper light window from Retrouvius looks down over the glamorous living area below.","Mezzanine, vintage kuparinen valoikkuna Retrouvius näyttää alas glamoroisen asuinalueen alapuolella.",Välikerroksessa avautuu Retrouviuksen kupariristikkoinen ikkuna tyylikkääseen oleskelutilaan.,-1.2607129247015445
"""The important thing is to stay healthy"", emphasises Nummela-based Manninen who won the gold medal in the team event in Salt Lake City in 2002.","""Tärkeintä on pysyä terveenä"", korostaa Nummela-lähtöinen Manninen, joka voitti kultamitalin joukkuetapahtumassa Salt Lake Cityssä vuonna 2002.","Nyt tärkeintä on pysyä terveenä, Salt Lake Cityssä 2002 kultaa joukkuekilpailussa juhlinut nummelalainen alleviivaa.",0.007360894448648141
The route drawn by the airliner over the United States was shown by the Flightradar24 service.,Ilmavoimien käyttämä reitti Yhdysvaltoihin näkyi Flightradar24-palvelussa.,Koneen lentämä reitti piirtyi Yhdysvaltain ylle Flightradar24:n palvelussa.,0.3354419629468783
The audience is almost evenly split between black and white.,Yleisö jakautuu lähes tasaisesti mustavalkoiseksi.,Yleisöstä melkein tasan puolet on mustaihoisia ja puolet valkoihoisia.,-1.2722986683909918
Neymar bought out of Barcelona – the Brazilian star signed a five-year deal with PSG,Neymar osti ulos Barcelonasta - brasilialaistähti allekirjoitti viiden vuoden sopimuksen PSG:n kanssa,Neymar ostettiin ulos Barcelonasta - brassitähti solmi viiden vuoden sopimuksen PSG:n kanssa,1.8831234025660986
